sku,product_name,category,description,design_front,design_back,colorways,sizes,tags
MC-POLO-OPS,Ops Polo,Polos,"Field-safe, board-ready. No slogans. Just signal.","Full logo (text + arrows) left chest","Arrows only below collar","Black|Slate|Navy","XS-3XL","polo|ops|minimal|core|apparel"
MC-POLO-BWWN,Build What Warfighters Need — Polo,Polos,"Directive copy for builders and operators.","Full logo left chest","Arrows only below collar","Black|Charcoal|Sand","XS-3XL","polo|bwwn|directive|tactical|apparel"
MC-POLO-RAD,Rebuild Air Dominance — Polo,Polos,"Air superiority is a mandate.","Full logo left chest","Arrows only below collar","Black|Slate|Navy","XS-3XL","polo|rad|air|strategic|apparel"
MC-ALOHA-OPS,Range Ops Aloha,Hawaiian Shirts,"Quiet pattern, loud intent.","Full logo left chest","Arrows optional below collar","Charcoal|Midnight","XS-3XL","aloha|ops|minimal|range|apparel"
MC-ALOHA-AIR,Air Dominance Aloha,Hawaiian Shirts,"Air dominance, operationally encoded.","Full logo left chest","Arrows optional below collar","Midnight|Deep Blue","XS-3XL","aloha|air|aviation|apparel"
MC-ALOHA-SIG,Signal Pattern Aloha,Hawaiian Shirts,"Minimal pattern, tactical read.","Full logo left chest","Arrows optional below collar","Slate|Carbon","XS-3XL","aloha|signal|comms|apparel"
MC-TEE-BWWN,Build What Warfighters Need,T-Shirts,"The directive. No qualifiers.","Full logo left chest","Arrows only below collar","Black|Carbon|Sand","XS-4XL","tee|bwwn|directive|core|apparel"
MC-TEE-RAD,Rebuild Air Dominance,T-Shirts,"Strategic imperative.","Full logo left chest","Arrows only below collar","Black|Navy|Slate","XS-4XL","tee|rad|air|strategic|apparel"
MC-TEE-CHT,Chatham House Mode,T-Shirts,"Speak freely. Leave no trace.","Full logo left chest","Arrows only below collar","Black|Charcoal","XS-4XL","tee|chatham|spicy|confidential|apparel"
MC-TEE-SDC,GovCon Sidechannel,T-Shirts,"Backchannel approved.","Full logo left chest","Arrows only below collar","Black|Slate","XS-4XL","tee|govcon|sidechannel|spicy|apparel"
MC-PATCH-BWWN,BWWN Patch,Patches,"Builder directive patch.","BWWN text","N/A","Black/White|Black/Gray","One Size","patch|bwwn|directive|velcro|accessories"
MC-PATCH-RAD,RAD Patch,Patches,"Rebuild Air Dominance patch.","RAD text + chevron","N/A","Black/Blue|Black/Gray","One Size","patch|rad|air|velcro|accessories"
MC-PATCH-OPS,Ops Console Patch,Patches,"Control-surface insignia.","Arrows or MC mark","N/A","Black/White","One Size","patch|ops|console|velcro|accessories"
MC-STICKER-ARR,Merge Arrows Sticker,Stickers,"MC arrows only.","Arrows only","None","White|Black|Silver","One Size","sticker|arrows|mark|vinyl|accessories"
MC-STICKER-OPS,Ops Console Sticker,Stickers,"Panel-grade mark.","Arrows + bar","None","White|Black","One Size","sticker|ops|console|vinyl|accessories"
MC-STICKER-BWWN,Warfighters Need Sticker,Stickers,"Directive text.","BWWN text","None","White|Black","One Size","sticker|bwwn|directive|vinyl|accessories"
MC-CAP-FLD,Field Cap,Caps,"Low-profile, signal only.","Full logo left front","N/A","Black|Slate|Olive","One Size","cap|field|ops|embroidered|accessories"
MC-NOTE-OPS,Operator Notebook,Accessories,"Grid-ready. No fluff.","Full logo front","N/A","Black","One Size","notebook|ops|grid|field|accessories"
MC-MAT-OPS,Ops Desk Mat,Accessories,"Command surface for ops.","Arrows + grid","None","Black/Gray","One Size","desk|mat|ops|command|accessories"
